
---------------------------------------------------------------------------------------------------------


				CAPTIONS (DIALOGUE) MAP


---------------------------------------------------------------------------------------------------------
	   #	DESCRIPTION
---------------------------------------------------------------------------------------------------------
	   9	Save point intro (yes = jump to #1747)
	  30	Name Terra (adds Sleeping Bag x2 to inventory)
	  31	-
	  36	-
	  38	-
	  67	Name Edgar (adds Auctocrossbow to inventory)
	  94	-
	  95	-
	 121	Kefka approaching Figaro; reused @ Thamasa
	 183	"Relics are useful!" guy; jumps to #1745
	 217	Cider man w/ Locke in soldier uniform
	 244	-
	 245	M-Tek troop blocking Mt. Koltz/Figaro Cave
	 246	-
	 250	-
	 285	2000 (293) GP @ Owzer's House | @ Grand Plaza
	 286	Potion (Tonic) @ Owzer's House
	 287	Ether (Tincture) @ Owzer's House
	 288	Remedy (Soft) @ Owzer's House | @ Grand Plaza
	 290	-
	 298	Paper @ Returner's Hideout (leave or toss)
	 299	Banon if paper was found and left alone
	 310	Genji Glove get (from Banon)
	 314	Gauntlet get (from Banon)
	 323	-
	 362	-
	 363	-
	 364	-
	 367	-
	 428	Old man, Sabin's scenario (2)
	 429	Sabin, to old man (3)
	 430	Old man, Sabin's scenario (4; goes to clock)
	 431	Old man, Sabin's scenario (1)
	 433	-
	 434	Old man, Sabin's scenario (6; lawnmower)
	 435	Old man, Sabin's scenario (5)
	 436	Old man, Sabin's scenario (9; bed)
	 437	Old man, Sabin's scenario (7; stove)
	 438	Old man, Sabin's scenario (8)
	 439	Old man, after scenario (door)
	 440	Old man, after Sabin touches stove
	 441	Sabin touching stove (followed by 440, then 443)
	 452	Shadow meets Sabin (if unnamed)
	 453	Shadow meets Sabin (if named)
	 455	-
	 479	-
	 483	-
	 521	-
	 575	-
	 601	Beginner's School NPC (near save point); jumps to #1747
	 605	Beginner's School NPC; jumps to #1745
	 645	-
	 649	Sabin, dining car (subsequent)
	 652	Sabin, dining car (initial)
	 901	"Change party?" at Narshe (default is yes)
	 920	Narshe NPC (pre-IMTRF; post=925)
	 921	Narshe NPC (pre-IMTRF; post=926)
	 922	Narshe NPC (pre-IMTRF; post=927)
	 923	Narshe NPC (pre-IMTRF; post=928)
