Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
038ACF       1    No     00000005-0000000A        6
038ADB       1    No     0000000B-00000010        6
038AE7       1    No     00000011-00000016        6
038AF3       1    No     00000017-0000001C        6
038B22       1    No     0000001D-00000022        6
038FFB       2    No     00000023-00000029        7
039013       2    No     0000002A-00000030        7
------    ----    EOF    00000031-00000033        3

Total Patches: 7 (7)
